"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"  3673 Levy (1985 QS)",2.346,0.1836,7.09,13.27,45.14,1.915,2.78,3.59,19877,0,4999,,,13.06,N,N,6.412,1
"  3749 Balam (1982 BG1)",2.236,0.1100,5.38,295.67,174.40,1.990,2.48,3.34,25175,0,9464,,,13.63,N,N,4.663,2
"  3782 Celle (1986 TE)",2.415,0.0931,5.25,271.33,333.69,2.190,2.64,3.75,19589,0,5493,,,12.86,N,N,5.924,1
"  3792 Preston (1985 FA)",2.293,0.2195,23.68,63.19,51.28,1.790,2.80,3.47,15556,0,3997,,,13.43,N,N,5.161,1
"  3841 Dicicco (1983 VG7)",2.274,0.1597,5.22,46.00,359.91,1.911,2.64,3.43,18142,0,8304,,,13.52,N,N,6.252,1
"  3865 Lindbloom (1988 AY4)",2.398,0.0788,6.55,214.44,32.42,2.209,2.59,3.71,19137,0,7263,,,12.97,N,N,7.972,1
"  3868 Mendoza (4575 P-L)",2.334,0.0982,8.11,171.52,185.95,2.105,2.56,3.57,25509,0,6622,,,12.73,N,N,8.628,1
"  3873 Roddy (1984 WB)",1.893,0.1336,23.36,250.01,267.57,1.640,2.15,2.6,14317,0,5009,,,12.91,N,N,5.021,1
"  3905 Doppler (1984 QO)",2.561,0.2548,14.21,343.13,91.30,1.909,3.21,4.1,15680,0,7511,,,12.94,N,N,8.021,1
"  3912 Troja (1988 SG)",2.376,0.0307,2.40,26.13,61.53,2.303,2.45,3.66,31494,0,5555,,,13.35,N,N,5.930,1
"  3951 Zichichi (1986 CK1)",2.339,0.1735,5.41,269.99,152.31,1.933,2.74,3.58,17332,0,8583,,,13.07,N,N,6.720,1
"  3959 Irwin (1954 UN2)",2.259,0.1875,3.29,210.79,198.22,1.835,2.68,3.4,25283,0,3857,,,14.08,N,N,4.141,1
"  3982 Kastel' (1984 JP1)",2.258,0.2198,5.30,251.84,50.96,1.762,2.75,3.39,34190,0,4706,,,13.04,N,N,6.790,1
"  4029 Bridges (1982 KC1)",2.526,0.1305,5.44,214.75,16.50,2.196,2.86,4.01,18169,0,6426,,,12.91,N,N,7.433,1
"  4092 Tyr (1986 TJ4)",2.632,0.2502,4.03,253.77,108.87,1.974,3.29,4.27,9593,0,4362,,,13.30,N,N,,1
"  4272 Entsuji (1977 EG5)",2.368,0.2494,9.27,184.37,183.89,1.777,2.96,3.64,25656,0,3993,,,12.95,N,N,7.675,1
"  4288 Tokyotech (1989 TQ1)",2.628,0.1773,14.03,44.56,325.55,2.162,3.09,4.26,23499,0,4212,,,11.70,N,N,12.296,1
"  4296 van Woerkom (1935 SA2)",2.249,0.1660,6.14,13.03,27.01,1.876,2.62,3.37,32267,0,3792,,,13.38,N,N,,1
"  4362 Carlisle (1978 PR4)",2.238,0.1019,4.72,34.35,172.81,2.010,2.47,3.35,26063,0,4221,,,13.23,N,N,5.590,1
"  4370 Dickens (1982 SL)",2.197,0.1994,2.56,218.30,153.34,1.759,2.63,3.26,26422,0,5405,,,14.56,N,N,3.775,1
"  4383 Suruga (1989 XP)",2.425,0.0644,7.16,88.45,317.49,2.269,2.58,3.78,16443,0,4118,,,13.11,N,N,6.471,1
"  4411 Kochibunkyo (1990 AF)",2.167,0.0927,2.26,88.43,10.90,1.966,2.37,3.19,18243,0,5407,,,14.14,N,N,4.433,1
"  4435 Holt (1983 AG2)",2.317,0.3346,21.94,330.74,110.53,1.541,3.09,3.53,16439,0,9534,,,13.41,N,N,5.042,1
"  4440 Tchantches (1984 YV)",1.921,0.0774,21.35,283.30,225.06,1.772,2.07,2.66,14184,0,3207,,,13.89,N,N,2.093,1
"  4492 Debussy (1988 SH)",2.769,0.1770,8.02,349.71,53.74,2.279,3.26,4.61,26299,0,8055,,,13.22,N,N,17.359,1
"  4494 Marimo (1988 TK1)",2.342,0.1204,2.47,294.30,216.61,2.061,2.62,3.59,18846,0,4514,,,13.69,N,N,,1
